Condition_1,Operator_1,Value_1,Condition_2,Operator_2,Value_2,Condition_3,Operator_3,Value_3,Condition_4,Operator_4,Value_4,Condition_5,Operator_5,Value_5,Condition_6,Operator_6,Value_6,Condition_7,Operator_7,Value_7,Condition_8,Operator_8,Value_8,Condition_9,Operator_9,Value_9,Classification,,
UrbanArea,==,0,agg_sback,>,75,emp_den,<,100,,,,,,,,,,,,,,,,,,,Rural,,
UrbanArea,==,0,agg_sback,>,75,,,,,,,,,,,,,,,,,,,,,,Rural,,
UrbanArea,==,0,emp_den,<,100,,,,,,,,,,,,,,,,,,,,,,Rural,,
UrbanArea,==,0,agg_sback,>,10,agg_sback,<,75,emp_den,>,500,emp_den,<,650,,,,,,,,,,,,,Rural Town,,
UrbanArea,==,0,agg_sback,>,10,agg_sback,<,75,,,,,,,,,,,,,,,,,,,Rural Town,,
UrbanArea,==,0,emp_den,>,500,emp_den,<,650,,,,,,,,,,,,,,,,,,,Rural Town,,
UrbanArea,==,1,agg_sback,>,45,agg_sback,<,100,emp_den,>,100,emp_den,<,500,,,,,,,,,,,,,Suburban,,
UrbanArea,==,1,agg_sback,>,45,agg_sback,<,100,,,,,,,,,,,,,,,,,,,Suburban,,
UrbanArea,==,1,emp_den,>,100,emp_den,<,500,,,,,,,,,,,,,,,,,,,Suburban,,
UrbanArea,==,1,agg_sback,>,10,agg_sback,<,45,emp_den,>,500,emp_den,<,2500,agg_HHpBLD,>,0.5,agg_HHpBLD,<,2,agg_bldprc,>,25,agg_bldprc,<,40,Urban,,
UrbanArea,==,1,agg_sback,>,10,agg_sback,<,45,agg_HHpBLD,>,0.5,agg_HHpBLD,<,2,agg_bldprc,>,25,agg_bldprc,<,40,,,,,,,Urban,,
UrbanArea,==,1,emp_den,>,500,emp_den,<,2500,agg_HHpBLD,>,0.5,agg_HHpBLD,<,2,agg_bldprc,>,25,agg_bldprc,<,40,,,,,,,Urban,,
UrbanArea,==,1,agg_sback,>,10,agg_sback,<,45,agg_HHpBLD,>,0.5,agg_HHpBLD,<,2,,,,,,,,,,,,,Urban,,
UrbanArea,==,1,agg_sback,>,10,agg_sback,<,45,agg_bldprc,>,25,agg_bldprc,<,40,,,,,,,,,,,,,Urban,,
UrbanArea,==,1,emp_den,>,500,emp_den,<,2500,agg_HHpBLD,>,0.5,agg_HHpBLD,<,2,,,,,,,,,,,,,Urban,,
UrbanArea,==,1,emp_den,>,500,emp_den,<,2500,agg_bldprc,>,25,agg_bldprc,<,40,,,,,,,,,,,,,Urban,,
UrbanArea,==,1,agg_sback,>,0,agg_sback,<,10,emp_den,>,2500,emp_den,<,100000,agg_HHpBLD,>,2,agg_HHpBLD,<,1000,agg_bldprc,>,40,agg_bldprc,<,100,Urban Core,,
UrbanArea,==,1,agg_sback,>,0,agg_sback,<,10,agg_HHpBLD,>,2,agg_HHpBLD,<,1000,agg_bldprc,>,40,agg_bldprc,<,100,,,,,,,Urban Core,,
UrbanArea,==,1,emp_den,>,2500,emp_den,<,100000,agg_HHpBLD,>,2,agg_HHpBLD,<,1000,agg_bldprc,>,40,agg_bldprc,<,100,,,,,,,Urban Core,,
UrbanArea,==,1,agg_sback,>,0,agg_sback,<,10,agg_HHpBLD,>,2,agg_HHpBLD,<,1000,,,,,,,,,,,,,Urban Core,,
UrbanArea,==,1,agg_sback,>,0,agg_sback,<,10,agg_bldprc,>,40,agg_bldprc,<,100,,,,,,,,,,,,,Urban Core,,
UrbanArea,==,1,emp_den,>,2500,emp_den,<,100000,agg_HHpBLD,>,2,agg_HHpBLD,<,1000,,,,,,,,,,,,,Urban Core,,
UrbanArea,==,1,emp_den,>,2500,emp_den,<,100000,agg_bldprc,>,40,agg_bldprc,<,100,,,,,,,,,,,,,Urban Core,,
evac_flag,==,1,,,,,,,,,,,,,,,,,,,,,,,,,Evacuation,,
