BLOCK_ID,longest_segment,avg_intersection_length,HOUSING20,POP20,aadt
3667,847.5079222909973,666.5873127536782,0,0,21146.0
20755,488.9216029543534,485.66670321635934,0,0,21146.0
101150,150.30504511271786,150.30504511271786,63,139,0.0
211079,400.84876488856685,143.3424395034831,49,124,0.0
211080,805.6251673151205,253.83501526210122,46,111,0.0
211081,264.0463829942302,159.05549759942204,32,77,4865.0
211082,264.0463829942302,128.39532744233276,0,0,4865.0
211083,264.0463829942302,131.48164476835623,42,88,5834.0
211084,262.7999880068472,128.24806706930346,2,3,5349.5
211085,291.80624694400376,121.80575602405364,0,0,5549.5
211086,291.80624694400376,111.44659659908358,0,0,5549.5
211087,292.5469887232053,137.2351207199027,7,14,5834.0
211088,805.5370827677109,357.17072472216176,2,12,0.0
211089,292.7526037697061,159.0261791852793,25,63,0.0
211090,380.71322423954757,113.61540334490174,26,77,0.0
211091,346.79080572424243,149.99471458571085,33,119,0.0
211092,237.3933318840779,111.24871813409425,19,60,0.0
211093,805.5370827677109,212.36363651304748,270,538,0.0
211094,332.3063264000361,159.75335381741857,22,40,0.0
211095,395.4434180097487,212.10594984515677,14,43,0.0
211096,805.5370827677109,286.1802728463773,0,0,0.0
211097,380.71322423954757,144.99029035806433,22,52,0.0
211098,805.5370827677109,357.17072472216176,56,91,0.0
211099,279.8622248681598,127.72429948729587,16,45,0.0
211100,168.6870649019825,106.56593057832318,10,31,0.0
211101,171.0777786744981,108.74490705218686,9,11,0.0
211102,171.0777786744981,107.95046137051291,8,24,0.0
211103,394.1288939075854,185.46929142301224,39,72,0.0
211104,394.1288939075854,186.33304015471222,24,55,0.0
211105,210.05458542877318,130.61376899500922,11,35,0.0
211106,305.75938095071734,114.7070110020555,21,50,0.0
211107,356.54185875751057,143.0441029674575,12,20,0.0
211110,419.7626909236853,161.25687679495726,64,150,0.0
211111,496.1062994518013,120.62162916270321,25,64,0.0
211114,8589.96326923541,8589.963269235408,0,0,0.0
211115,1456.7008855542329,601.1959811808825,0,0,33472.0
211117,276.3870811179008,112.9337375309685,0,0,8489.0
211142,362.833694204332,143.9497949883,26,81,0.0
211143,173.73764625183992,89.791176406056,65,181,0.0
211144,1181.8653047434605,252.62997934323957,3,19,34227.0
211145,1181.8653047434605,193.34317780469357,0,0,25597.777777777777
211146,289.8203907458488,145.5788745796903,0,0,0.0
211147,289.8203907458488,142.97492032061254,0,0,0.0
211148,417.651698021593,159.07704849754575,56,177,0.0
211149,376.696424570707,108.93821398610524,109,297,0.0
211150,531.2932923946315,156.40641174414273,143,398,0.0
211151,343.95868733372345,152.6131302182944,37,97,0.0
211152,474.1395992068726,114.98872324266682,121,305,31416.0
211153,214.69214591150327,114.875429912798,12,42,0.0
211154,388.71935149450843,151.8731354457275,24,70,0.0
211155,360.62609362040246,123.2095196891149,39,56,0.0
211156,441.68171028984455,178.91737237022082,35,94,0.0
211157,311.5252954611136,138.72695268517424,13,63,0.0
211158,361.99328438066135,135.08883186796737,18,41,0.0
211159,361.99328438066135,128.89124550114306,18,34,0.0
211160,231.86694332783708,133.20870624624882,10,28,0.0
211161,201.99567327202445,108.98610494313093,12,29,12033.0
211162,499.6501898137261,153.32676334269675,35,83,0.0
211163,351.69695536252414,120.16646218611041,73,176,11246.5
211164,3526.4547741362676,240.06808098563948,119,288,25379.0
211165,222.66920038843574,88.51175420854491,35,93,0.0
211167,185.4273955153453,123.61950504930373,0,0,0.0
211172,456.0570678555363,160.37600336900874,0,0,0.0
211173,1833.540014326445,718.1164444820882,0,0,41342.25
211175,259.39213261561935,122.82580693938942,5,29,0.0
211176,1249.16126706728,204.80038688492877,2,11,0.0
211177,8589.96326923541,2755.5363351765823,0,0,0.0
211180,648.1091311734407,187.9247227880783,2,12,21146.0
211181,648.1091311734407,222.59016439563845,0,0,21146.0
211183,3234.003275342668,1210.905945792389,9,18,0.0
211184,3234.003275342668,1210.905945792389,1,8,19220.333333333332
211185,969.1450712139901,415.07118093462225,48,109,0.0
211186,639.588068659677,297.8109093253237,20,58,13341.0
211187,1109.9340805016993,422.1963473951523,0,0,0.0
211189,659.136086613105,250.42581063256625,363,68,0.0
211191,394.1288939075854,218.50349308200487,2,16,0.0
211192,3106.764891570653,780.7950245770188,0,0,0.0
211194,1615.611201253965,717.8139617987022,0,0,48295.0
211195,427.9993371496974,196.72631389912502,41,112,0.0
211196,427.9993371496974,166.9559494417545,35,95,0.0
211197,359.9621288915924,136.8740110803152,11,37,0.0
211198,638.6578888038811,207.82888397871398,5,21,81871.0
211200,248.28955688410196,248.28955688410196,1,4,53426.0
211201,411.09202010907404,173.28300830697964,46,122,0.0
211202,289.0296940358537,158.17581769081545,24,74,0.0
211203,414.2230182387927,82.50105455481908,4,19,11987.0
211205,305.75938095071734,131.13577054612287,2,18,0.0
211206,356.54185875751057,121.99020397302799,23,46,0.0
211207,125.80125398526867,84.51208793869051,0,0,0.0
211208,118.03737823218887,102.62332010255331,0,0,0.0
211209,128.64836817784837,102.24659907815295,15,6,0.0
211210,244.12430227801244,128.1202360796576,4,5,6522.666666666667
211211,155.88403958172972,107.46479242230754,0,0,5081.0
211212,498.2627578591463,116.68727219208905,0,0,5081.0
211213,255.61052618120235,130.41405165995238,0,0,5081.0
211214,498.2627578591463,153.21615078697397,0,0,0.0
211215,156.06386841543355,121.359556308259,16,34,0.0
211216,155.24010347865277,114.59085653897186,0,0,6522.666666666667
211217,171.88146185485425,96.65185599720921,7,9,7532.0
211218,176.09260621591488,126.21736532070486,16,59,0.0
211219,266.04249019403056,147.1804198461037,20,39,14285.0
211220,217.1136690903039,115.50066981349309,38,88,0.0
211221,828.6477119308886,139.44616600281307,1,5,37833.0
211222,799.6453144844636,267.62553944144906,38,93,0.0
211223,1665.173728886843,224.13471675257958,0,0,33745.0
211224,1665.173728886843,287.9051521695173,0,0,0.0
211243,569.7290371613135,219.06995811674523,62,54,43243.75
211244,406.257328708085,120.5058134950249,0,0,0.0
211245,127.42266126815238,103.00720326740583,0,8,0.0
211246,359.46186173065973,207.98339333192393,30,57,14868.0
211247,506.2780464651939,178.14470404161253,32,78,0.0
211248,277.1617496944392,142.44305167345476,29,73,0.0
211262,286.84073225276035,140.29457337242084,30,91,0.0
211263,489.11963371995273,136.51767127612587,11,48,0.0
211264,203.6029254284545,135.36157369232467,104,160,0.0
211265,231.50752929370998,159.52219104196533,15,52,0.0
211266,307.4181782868096,176.24850042878077,22,66,0.0
211267,382.9005404495613,174.2053840896641,55,112,0.0
273651,252.81351299554146,144.14866272481453,0,96,12033.5
273657,291.7220790057769,132.96952737841468,31,82,0.0
295086,337.6855029517295,337.6855029517295,17,56,39507.09090909091
316169,339.98254410729714,160.47654475077837,15,47,0.0
316170,390.3440841215074,158.76088654720863,22,52,0.0
316171,403.9286948560314,121.90125032812597,41,129,0.0
316172,284.8507344278065,135.4223640031747,42,124,0.0
316173,406.92099460101304,178.98046531977852,38,110,0.0
316175,1271.3952715337423,455.96182890215636,0,0,62017.0
316176,430.7500485359524,198.91676594454532,32,75,0.0
316177,912.6574458247355,235.07880898231605,0,0,92265.0
316179,1681.7436518276077,1681.7436518276074,0,0,0.0
316180,989.9092015630002,183.16052714672034,0,0,33602.555555555555
316181,448.37288488223567,196.10790438316695,0,0,19679.0
316182,399.6850836261902,146.39998506479293,3,10,19647.0
316183,2045.8691747664138,664.2654954950629,0,0,0.0
316187,390.60183921534684,105.09241101577824,5,25,0.0
316188,1641.7684885315941,611.6231722062772,0,0,0.0
316189,604.5903853757919,206.2941161380577,94,297,0.0
316190,491.10381147318674,159.54905383097156,356,744,0.0
316191,491.10381147318674,243.14387422256283,13,51,0.0
316192,491.10381147318674,204.1631601322004,19,63,0.0
316193,639.588068659677,159.19163397699137,69,215,13341.0
316194,293.8499383445458,106.63971597720392,10,38,0.0
316195,489.11963371995273,139.2883938253041,165,468,0.0
316197,343.65832131714365,130.47914553778205,35,94,0.0
316198,976.8479478174158,512.8865044123534,0,0,64559.5
316199,399.6850836261902,227.54824831639976,0,0,19678.75
316200,399.6850836261902,169.77715729083332,0,0,19678.5
316202,408.954259564444,134.5118695185321,0,0,0.0
316203,212.02440283077627,110.40630937842324,9,25,0.0
316204,1319.6874155326161,710.5924376386845,0,0,83530.5
316205,641.8038803786204,305.9476104555241,33,195,0.0
316206,782.5362734280474,433.5695552298008,5,21,0.0
316209,461.82626353222315,147.43356242912233,15,46,0.0
316211,800.0027375567967,506.7419365332667,0,0,0.0
316212,258.54718551144083,104.64663004961368,6,19,0.0
316213,299.5423457410833,114.20870389489657,32,89,0.0
316214,122.92390741389417,89.81895930007546,4,11,0.0
316215,212.15928805322557,99.53265516997989,26,78,0.0
316216,782.5362734280474,332.76896519957666,14,47,0.0
316217,819.227703262115,250.26706447540468,45,94,0.0
316218,112.58103649554033,96.63040246001546,12,12,0.0
316219,148.76275789610224,118.63264879866989,16,43,0.0
316220,639.3038346435492,101.87810156376699,0,0,48691.142857142855
316221,263.3169638609046,156.4107842836227,0,0,0.0
316222,637.9513055860496,142.6285797934229,16,44,13040.75
316223,263.23408422257796,145.3345924680549,39,106,14285.0
316224,214.8072904246309,122.21416578821434,24,69,0.0
316225,541.3602215869738,171.29981598903663,22,50,0.0
316226,411.09202010907404,103.08737733837468,60,144,0.0
316228,292.8930581539068,155.01061675622833,14,46,0.0
316229,359.2654220688591,184.35837777733047,63,160,0.0
316230,359.2654220688591,165.03845220293766,37,105,0.0
316231,359.2654220688591,146.93966209749206,47,108,0.0
316232,204.45874926742138,118.89181210676715,20,59,0.0
316233,203.46001416402152,119.67917457023694,34,81,0.0
316234,203.46001416402152,146.19569384806138,25,68,0.0
316235,201.7246270893083,115.8924310525462,0,0,0.0
316236,201.7246270893083,148.33850074516826,29,82,0.0
316237,380.9675951123054,159.84206100391734,81,195,12786.0
316238,293.3518308907558,155.00194595624316,17,37,0.0
316239,223.1407372768115,123.53917310981818,22,73,0.0
316240,148.90724083711876,127.35916597758275,6,22,0.0
316241,175.44782560812882,114.2012206923665,4,15,13242.5
316242,223.1407372768115,118.44855957696109,25,64,12786.0
316243,223.1407372768115,125.68122051902333,2,11,13242.5
316244,380.9675951123054,154.52140074266737,29,66,12786.0
316245,380.9675951123054,149.97580499604874,30,76,12786.0
316246,380.9675951123054,153.6947032810482,0,0,12786.0
316247,357.1926173111133,155.32712150672307,35,81,0.0
316248,357.1926173111133,153.65123981803777,34,112,0.0
316249,380.9675951123054,154.0900030301357,17,36,12786.5
316250,291.5675877330061,121.96159799816284,34,103,0.0
316251,293.3518308907558,127.57127764057593,33,86,0.0
316252,198.44237173299487,88.77548730941425,25,68,12787.0
316253,292.8930581539068,116.78820251177035,42,111,0.0
316254,290.0331612788892,127.78817469591768,34,94,0.0
316255,201.8693373914292,99.06927869901553,22,63,0.0
316256,290.0331612788892,121.47096164091954,20,43,0.0
316257,355.5175780393015,152.61214876823485,35,75,0.0
316258,355.5175780393015,157.22397419539587,36,98,0.0
316259,1010.5036597652584,159.77723564134158,7,27,12786.5
316260,1010.5036597652584,146.72432406260245,0,0,12072.5
316261,1010.5036597652584,149.61874809762526,2,9,12072.5
316262,200.71523267584155,98.17570672044319,24,56,0.0
316263,1010.5036597652584,140.79122281047367,26,65,0.0
316264,1010.5036597652584,160.71055558837676,6,15,0.0
316265,203.24391610073965,92.9155545215405,25,70,12786.5
316266,1010.5036597652584,133.52250138465897,0,0,12310.333333333334
316267,430.7500485359524,192.41327794270182,8,31,0.0
316268,363.80532269948156,140.03686342646955,47,96,0.0
316269,363.80532269948156,139.44753429007972,42,136,0.0
316270,255.76918777583606,150.5370152700965,16,41,0.0
316271,280.19909352626576,119.26135333067792,11,26,0.0
316273,225.2530265639626,58.7330331786975,156,238,0.0
316275,112.00057747720881,93.45466050452767,4,9,0.0
316276,304.6281109888695,75.72373893597216,10,18,18717.0
316278,1321.5995490558298,306.3452741515224,22,69,62850.0
316279,642.2607673486168,641.920340752551,0,0,21146.0
316282,492.03242242257875,205.48400752287995,242,349,0.0
316283,1092.9267063694465,266.1230786946419,0,0,84814.66666666667
316285,660.6059179824589,157.52678743858658,16,1660,13739.666666666666
316286,263.68707033672786,105.25311353466135,71,190,0.0
316287,434.0665820650956,206.14625706847346,25,200,17476.0
316288,471.7936160468775,180.9948742223546,39,123,0.0
316289,471.7936160468775,194.20949880660638,39,96,0.0
316290,434.0665820650956,158.06177332448573,12,45,18797.0
316291,326.1007742157353,177.8683159568075,26,79,0.0
316292,358.2961137930583,157.48441354452308,20,47,0.0
316293,434.0665820650956,197.85622962271742,27,69,17476.0
316294,450.9897687294326,194.02930938150334,281,685,17476.0
316295,263.4120513828921,107.99316652518407,0,0,37406.0
316296,287.14791822308587,155.68946621746093,25,77,0.0
316297,281.1452907926178,101.93879837724253,23,78,0.0
316298,231.90045819004104,120.71922980917243,37,102,0.0
316299,266.21803442807345,160.03501569344294,14,34,0.0
316300,358.2961137930583,138.33800217447194,26,58,0.0
316301,287.14791822308587,145.95253696745453,21,82,0.0
316302,358.2961137930583,155.45398465300048,21,46,0.0
316303,243.30473695210395,135.4246503297263,30,78,0.0
316304,408.0363977913167,255.57067136242512,34,61,16155.0
316305,358.2961137930583,148.86106914393812,0,0,0.0
316306,284.47378754176685,165.797730493152,30,88,0.0
316307,284.47378754176685,171.88569053996758,21,64,0.0
316308,584.2294066700671,151.1626691585903,178,226,37408.0
316309,243.30473695210395,128.18038200662272,17,40,0.0
316310,603.3877594718836,166.4500675060056,22,55,0.0
316311,328.52275291717694,146.24052001980354,22,61,0.0
316312,264.4864234143463,143.2518427538874,20,54,0.0
316313,1374.948980902867,254.66767533304082,14,44,78806.0
316314,502.3960323938565,203.4377093680136,76,220,28621.0
316315,1374.948980902867,300.6176942054523,0,0,78806.0
316316,301.6717819623457,146.10595426304852,27,82,0.0
316317,198.00100405878874,100.5853799543109,15,48,0.0
316318,255.3963677520161,164.64556925293758,10,30,0.0
316319,239.0964993867411,140.48056358325175,14,43,0.0
316320,315.2552062508819,149.81511132766607,26,68,0.0
316321,315.2552062508819,126.17321720277778,26,60,0.0
316322,264.4864234143463,140.3506056578684,31,72,0.0
316323,247.84313819494213,131.20307066061238,19,38,0.0
316324,315.2552062508819,160.61307054384346,27,79,16592.0
316325,262.84123192593023,135.22038467231098,9,27,0.0
316326,228.39399696130758,124.67261765547778,18,41,0.0
316327,214.15302320123067,133.59540579169234,18,41,0.0
316328,1374.948980902867,167.37995809144465,9,36,78806.0
316329,1100.5515042779105,305.1715034673692,17,39,58871.4
316330,1100.5515042779105,225.29779568963218,0,0,55679.28571428572
316331,367.5289420762935,167.37842519611792,22,41,0.0
316332,1100.5515042779105,232.74612822162777,0,0,78806.0
316333,391.9166944922865,139.69205942570198,18,52,0.0
316334,244.25081552969186,126.08066246565,0,0,0.0
316335,434.0665820650956,253.581929842834,20,42,17476.0
316336,408.4395456584888,203.83174486652462,30,62,0.0
316337,234.20506985582696,154.6284295976292,107,220,0.0
316338,443.8832319761759,142.18570894618054,12,29,0.0
316339,584.2294066700671,210.21981230202329,19,49,0.0
316340,450.9897687294326,161.34534962608157,15,47,16155.0
316341,385.37038485778965,184.45338751701624,13,53,37833.0
316342,443.8832319761759,178.95872231228807,33,88,0.0
