geometry_wkt,addr:street,highway
POINT (-97.260044 27.6859071),,turning_circle
POINT (-97.3698901 27.6958947),,turning_circle
POINT (-97.4214713 27.6621061),,turning_circle
POINT (-97.418696 27.6625488),,turning_circle
POINT (-97.3569509 27.6997002),,turning_circle
POINT (-97.4389272 27.7970289),,traffic_signals
POINT (-97.2918998 27.679623),,turning_circle
POINT (-97.4293961 27.7398925),,motorway_junction
POINT (-97.4385051 27.7443944),,turning_circle
POINT (-97.4698972 27.7841284),,motorway_junction
POINT (-97.4106658 27.778239),,traffic_signals
POINT (-97.4490502 27.8035412),,motorway_junction
POINT (-97.4646751 27.760905),,motorway_junction
POINT (-97.5723067 27.8462917),,traffic_signals
POINT (-97.4148003 27.7719384),,motorway_junction
POINT (-97.5506051 27.8361067),,motorway_junction
POINT (-97.4529954 27.797298),,traffic_signals
POINT (-97.574054 27.8474454),,motorway_junction
POINT (-97.4344765 27.796952),,traffic_signals
POINT (-97.3301513 27.6888259),,traffic_signals
POINT (-97.3949779 27.7998242),,traffic_signals
POINT (-97.4591954 27.8044598),,motorway_junction
POINT (-97.3963528 27.7084373),,traffic_signals
POINT (-97.4257068 27.7348589),,motorway_junction
POINT (-97.3911538 27.7967796),,traffic_signals
POINT (-97.5156119 27.8190054),,motorway_junction
POINT (-97.410163 27.7869472),,traffic_signals
POINT (-97.4098435 27.7878733),,traffic_signals
POINT (-97.4716863 27.8040355),,motorway_junction
POINT (-97.4548756 27.7510604),,motorway_junction
POINT (-97.3932734 27.7759312),,traffic_signals
POINT (-97.4091964 27.787971),,traffic_signals
POINT (-97.4806359 27.8048167),,motorway_junction
POINT (-97.4844843 27.8056465),,traffic_signals
POINT (-97.4844811 27.804475),,traffic_signals
POINT (-97.4388141 27.8027693),,motorway_junction
POINT (-97.4818455 27.7821337),,motorway_junction
POINT (-97.29697 27.6747696),,traffic_signals
POINT (-97.3959376 27.793559),,traffic_signals
POINT (-97.5979064 27.8556717),,motorway_junction
POINT (-97.5421336 27.8313933),,motorway_junction
POINT (-97.3973715 27.7982797),,traffic_signals
POINT (-97.4639504 27.8043055),,motorway_junction
POINT (-97.3895495 27.8257011),,motorway_junction
POINT (-97.4335931 27.7387716),,motorway_junction
POINT (-97.4738525 27.7817369),,motorway_junction
POINT (-97.4689467 27.7772547),,motorway_junction
POINT (-97.4691389 27.7786735),,motorway_junction
POINT (-97.2687527 27.690391),,crossing
POINT (-97.4167598 27.7686065),,motorway_junction
POINT (-97.42484 27.7469239),,traffic_signals
POINT (-97.4891632 27.785075),,motorway_junction
POINT (-97.4945834 27.785007),,motorway_junction
POINT (-97.4094314 27.7870144),,traffic_signals
POINT (-97.6281946 27.86039),,motorway_junction
POINT (-97.4302278 27.7308584),,traffic_signals
POINT (-97.6268201 27.8893904),,motorway_junction
POINT (-97.3545221 27.6825813),,turning_circle
POINT (-97.4003648 27.6591438),,traffic_signals
POINT (-97.4001678 27.6594609),,traffic_signals
POINT (-97.3917613 27.6728029),,traffic_signals
POINT (-97.3877927 27.6791586),,traffic_signals
POINT (-97.3838384 27.6854107),,traffic_signals
POINT (-97.3865978 27.6524674),,turning_circle
POINT (-97.3999928 27.6668224),,turning_circle
POINT (-97.2331061 27.5810984),,turning_circle
POINT (-97.3859027 27.7121206),,traffic_signals
POINT (-97.4553053 27.7661055),,turning_circle
POINT (-97.3566357 27.6864292),,turning_circle
POINT (-97.3794588 27.6937084),,turning_circle
POINT (-97.4356982 27.743369),,turning_circle
POINT (-97.4158207 27.7229569),,turning_circle
POINT (-97.4285548 27.7570344),,traffic_signals
POINT (-97.3936983 27.653532),,turning_circle
POINT (-97.3999554 27.6980172),,turning_circle
POINT (-97.3939999 27.7146781),,turning_circle
POINT (-97.3842825 27.6887684),,turning_circle
POINT (-97.6282852 27.8696984),,turning_circle
POINT (-97.295333 27.6299782),,turning_circle
POINT (-97.4400955 27.7999452),,turning_circle
POINT (-97.6026185 27.8467479),,turning_circle
POINT (-97.3930742 27.6996805),,turning_circle
POINT (-97.3937496 27.6985342),,turning_circle
POINT (-97.4003763 27.6615695),,turning_circle
POINT (-97.3755449 27.7266422),,turning_circle
POINT (-97.635649 27.8652194),,turning_circle
POINT (-97.4103042 27.7651432),,turning_circle
POINT (-97.2384622 27.6088473),,turning_circle
POINT (-97.3948273 27.7134047),,turning_circle
POINT (-97.3927565 27.6796141),,turning_circle
POINT (-97.6038642 27.8463919),,turning_circle
POINT (-97.4031529 27.662918),,turning_circle
POINT (-97.2330068 27.603069),,turning_circle
POINT (-97.2247704 27.6039096),,turning_circle
POINT (-97.6569192 27.8646325),,turning_circle
POINT (-97.6542048 27.8593493),,turning_circle
POINT (-97.3618165 27.7245023),,traffic_signals
POINT (-97.3622098 27.7166834),,traffic_signals
POINT (-97.3626487 27.708224),,traffic_signals
POINT (-97.36283 27.7044033),,traffic_signals
POINT (-97.3628571 27.7036757),,traffic_signals
POINT (-97.3630288 27.7001202),,traffic_signals
POINT (-97.3634388 27.6920737),,traffic_signals
POINT (-97.3638284 27.6839535),,traffic_signals
POINT (-97.36429 27.6757235),,traffic_signals
POINT (-97.3656444 27.6836641),,turning_circle
POINT (-97.4100674 27.6736409),,traffic_signals
POINT (-97.3815205 27.6593001),,traffic_signals
POINT (-97.4555872 27.7668015),,turning_circle
POINT (-97.3848117 27.6541707),,traffic_signals
POINT (-97.3320993 27.6505851),,turning_circle
POINT (-97.3338979 27.6515048),,turning_circle
POINT (-97.402075 27.7606523),,traffic_signals
POINT (-97.4112685 27.7110402),,turning_circle
POINT (-97.6507662 27.8576799),,traffic_signals
POINT (-97.3812768 27.7332269),,turning_circle
POINT (-97.433945 27.7187981),,turning_circle
POINT (-97.4258941 27.7148546),,turning_circle
POINT (-97.4089073 27.6849455),,turning_circle
POINT (-97.6042401 27.8447844),,turning_circle
POINT (-97.232136 27.6295667),,turning_circle
POINT (-97.2980104 27.6157754),,turning_circle
POINT (-97.2957672 27.679471),,turning_circle
POINT (-97.2960408 27.628776),,turning_circle
POINT (-97.3319514 27.6360159),,turning_circle
POINT (-97.4523601 27.7600846),,turning_circle
POINT (-97.4514964 27.7586225),,turning_circle
POINT (-97.4162503 27.7567737),,turning_circle
POINT (-97.2315743 27.5806061),,turning_circle
POINT (-97.3984419 27.7034255),,turning_circle
POINT (-97.6021431 27.8517626),,turning_circle
POINT (-97.3882732 27.6690632),,turning_circle
POINT (-97.4195169 27.7171189),,turning_circle
POINT (-97.4024613 27.7638042),,traffic_signals
POINT (-97.4531267 27.7698629),,turning_circle
POINT (-97.3945014 27.7791806),,traffic_signals
POINT (-97.3938871 27.7775712),,traffic_signals
POINT (-97.3920351 27.7739363),,traffic_signals
POINT (-97.3894423 27.7709403),,traffic_signals
POINT (-97.3746383 27.7478037),,traffic_signals
POINT (-97.3197439 27.7140462),,traffic_signals
POINT (-97.3729428 27.6721647),,turning_circle
POINT (-97.3461367 27.7043687),,turning_circle
POINT (-97.3619814 27.6687989),,turning_circle
POINT (-97.3623432 27.6681921),,turning_circle
POINT (-97.384576 27.6574555),,turning_circle
POINT (-97.4184282 27.7634148),,turning_circle
POINT (-97.6096433 27.8606385),,turning_circle
POINT (-97.5230586 27.8187116),,turning_circle
POINT (-97.4749866 27.7922563),,turning_circle
POINT (-97.3849858 27.6568057),,turning_circle
POINT (-97.2967236 27.6334007),,turning_circle
POINT (-97.2328319 27.5911994),,turning_circle
POINT (-97.3426069 27.6966934),,turning_circle
POINT (-97.3326115 27.6385125),,turning_circle
POINT (-97.3002363 27.6364498),,turning_circle
POINT (-97.3023141 27.6424179),,turning_circle
POINT (-97.3965479 27.7014978),,turning_circle
POINT (-97.3987795 27.6998943),,turning_circle
POINT (-97.3609761 27.6977213),,turning_circle
POINT (-97.3558213 27.6960011),,turning_circle
POINT (-97.3930718 27.700677),,traffic_signals
POINT (-97.3798923 27.6918803),,traffic_signals
POINT (-97.4139614 27.6621189),,turning_circle
POINT (-97.4189551 27.6904839),,traffic_signals
POINT (-97.4124924 27.6994625),,traffic_signals
POINT (-97.4065461 27.7089659),,traffic_signals
POINT (-97.4044636 27.7122838),,traffic_signals
POINT (-97.4005898 27.7184822),,traffic_signals
POINT (-97.3987947 27.7213266),,traffic_signals
POINT (-97.3984515 27.7218839),,traffic_signals
POINT (-97.3965278 27.7249108),,traffic_signals
POINT (-97.3926359 27.7312837),,traffic_signals
POINT (-97.3877702 27.7393072),,traffic_signals
POINT (-97.3990655 27.7349922),,turning_circle
POINT (-97.3934608 27.7323029),,turning_circle
POINT (-97.4543771 27.7597301),,traffic_signals
